symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SH600695,600695,绿庭投资,3.42,4.59,0.15,3.44,3.27,11.77,3.12,2.432071782E9,5.0663888E7,83.08,14983710
SZ000506,000506,中润资源,3.21,4.56,0.14,3.25,3.05,9.17,2.67,2.98214701281E9,8.98404512E7,,28455480
SZ300225,300225,金力泰,5.35,4.49,0.23,5.4,5.18,16.88,4.35,2.516319E9,2.1198218735E8,94.14,40151665
SZ300146,300146,汤臣倍健,18.62,4.49,0.8,18.99,17.92,21.3,12.75,2.73532991256E10,4.1648618746E8,30.78,22420129
SZ000897,000897,津滨发展,2.56,4.49,0.11,2.61,2.46,4.59,2.12,4.14021691648E9,4.153270663E7,,16405408
SZ300296,300296,利亚德,8.45,4.45,0.36,8.65,8.17,17.39,7.96,2.14873070672E10,3.8584723193E8,15.08,45835156
SZ002682,002682,龙洲股份,4.94,4.44,0.21,5.2,4.72,9.2,4.69,2.77810085436E9,2.830936385E7,15.05,5626220
SH603886,603886,元祖股份,17.69,4.43,0.75,17.75,16.88,24.77,14.77,4.2456E9,5.0604883E7,19.2,2885888
SZ002547,002547,春兴精工,3.54,4.42,0.15,3.63,3.37,9.93,3.02,3.99332237472E9,2.68237217E8,,76645300
SZ002120,002120,韵达股份,30.25,4.42,1.28,30.32,29.05,46.53,28.66,5.1811128424E10,7.178039945E7,28.13,2393872
SH600939,600939,重庆建工,5.21,4.41,0.22,5.37,4.96,9.89,4.47,9.453545E9,4.0240023E7,24.24,7780776
SH603939,603939,益丰药房,52.46,4.4,2.21,54.38,51.43,68.0,34.08,1.902696175868E10,1.84730619E8,49.56,3470742
SH600039,600039,四川路桥,3.56,4.4,0.15,3.68,3.37,4.89,2.89,1.28534708156E10,1.58537648E8,11.01,45030011
SZ300357,300357,我武生物,44.49,4.39,1.87,44.58,42.6,46.99,22.33,1.29412512E10,1.2235918954E8,61.24,2795866
SZ002745,002745,木林森,17.64,4.38,0.74,17.77,16.64,29.36,14.84,2.25292530456E10,5.4074215061E8,26.62,31222917
SH600853,600853,龙建股份,3.82,4.37,0.16,3.85,3.65,6.14,3.36,2.46072045356E9,4.0439542E7,17.4,10777221
SZ002259,002259,升达林业,2.88,4.35,0.12,2.92,2.74,8.08,2.65,2.16670540896E9,5.617612405E7,,19730353
SH603186,603186,华正新材,15.13,4.34,0.63,15.95,14.8,37.45,13.6,1.9770371E9,6.0114759E7,27.08,3897532
SH603023,603023,威帝股份,5.85,4.28,0.24,5.92,5.63,11.07,5.2,2.106E9,1.3113571E7,25.96,2273921
SZ300692,300692,中环环保,15.15,4.27,0.62,15.55,14.3,44.48,14.3,2.42407575E9,3.8892355E7,44.14,2602578
